"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Adelaide v Essendon (AFL Rd 1)","22/03/2013","20:40:00","22/03/2013","23:30:00","FALSE","FALSE","","","Adelaide","","AAMI","3","False"
"Brisbane v Adelaide (AFL Rd 2)","06/04/2013","16:40:00","06/04/2013","19:30:00","FALSE","FALSE","","","Adelaide","","Gabba","3","False"
"Port Adelaide v Adelaide (AFL Rd 3)","14/04/2013","16:40:00","14/04/2013","19:30:00","FALSE","FALSE","","","Adelaide","","AAMI","3","False"
"Adelaide v Western Bulldogs (AFL Rd 4)","21/04/2013","15:15:00","21/04/2013","18:05:00","FALSE","FALSE","","","Adelaide","","AAMI","3","False"
"Carlton v Adelaide (AFL Rd 5)","27/04/2013","16:40:00","27/04/2013","19:30:00","FALSE","FALSE","","","Adelaide","","MCG","3","False"
"Adelaide v Hawthorn (AFL Rd 6)","04/05/2013","16:40:00","04/05/2013","19:30:00","FALSE","FALSE","","","Adelaide","","AAMI","3","False"
"Greater Western Sydney v Adelaide (AFL Rd 7)","12/05/2013","13:10:00","12/05/2013","16:00:00","FALSE","FALSE","","","Adelaide","","Skoda","3","False"
"Adelaide v St Kilda (AFL Rd 8)","19/05/2013","16:40:00","19/05/2013","19:30:00","FALSE","FALSE","","","Adelaide","","AAMI","3","False"
"North Melbourne v Adelaide (AFL Rd 9)","26/05/2013","15:15:00","26/05/2013","18:05:00","FALSE","FALSE","","","Adelaide","","Etihad","3","False"
"Adelaide v Fremantle (AFL Rd 10)","01/06/2013","14:10:00","01/06/2013","17:00:00","FALSE","FALSE","","","Adelaide","","AAMI","3","False"
"Adelaide v Sydney (AFL Rd 11)","08/06/2013","16:40:00","08/06/2013","19:30:00","FALSE","FALSE","","","Adelaide","","AAMI","3","False"
"Richmond v Adelaide (AFL Rd 12)","15/06/2013","13:40:00","15/06/2013","16:30:00","FALSE","FALSE","","","Adelaide","","MCG","3","False"
"Adelaide v BYE (AFL Rd 13)","21/06/2013","00:00:00","22/06/2013","00:00:00","TRUE","FALSE","","","Adelaide","","Gabba","3","False"
"Gold Coast v Adelaide (AFL Rd 14)","29/06/2013","13:40:00","29/06/2013","16:30:00","FALSE","FALSE","","","Adelaide","","Metricon","3","False"
"Adelaide v West Coast (AFL Rd 15)","06/07/2013","19:40:00","06/07/2013","22:30:00","FALSE","FALSE","","","Adelaide","","AAMI","3","False"
"Collingwood v Adelaide (AFL Rd 16)","12/07/2013","19:50:00","12/07/2013","22:40:00","FALSE","FALSE","","","Adelaide","","MCG","3","False"
"Adelaide v Geelong (AFL Rd 17)","21/07/2013","15:15:00","21/07/2013","18:05:00","FALSE","FALSE","","","Adelaide","","AAMI","3","False"
"Fremantle v Adelaide (AFL Rd 18)","27/07/2013","19:40:00","27/07/2013","22:30:00","FALSE","FALSE","","","Adelaide","","Patersons","3","False"
"Adelaide v Port Adelaide (AFL Rd 19)","04/08/2013","15:15:00","04/08/2013","18:05:00","FALSE","FALSE","","","Adelaide","","AAMI","3","False"
"Adelaide v North Melbourne (AFL Rd 20)","11/08/2013","15:15:00","11/08/2013","18:05:00","FALSE","FALSE","","","Adelaide","","AAMI","3","False"
"Western Bulldogs v Adelaide (AFL Rd 21)","18/08/2013","16:40:00","18/08/2013","19:30:00","FALSE","FALSE","","","Adelaide","","Etihad","3","False"
"Adelaide v Melbourne (AFL Rd 22)","24/08/2013","13:45:00","24/08/2013","16:35:00","FALSE","FALSE","","","Adelaide","","AAMI","3","False"
"West Coast v Adelaide (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","Adelaide","","Patersons","3","False"
