"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Western Bulldogs v Brisbane (AFL Rd 1)","30/03/2013","13:40:00","30/03/2013","16:30:00","FALSE","FALSE","","","Brisbane","","Etihad","3","False"
"Brisbane v Adelaide (AFL Rd 2)","06/04/2013","16:40:00","06/04/2013","19:30:00","FALSE","FALSE","","","Brisbane","","Gabba","3","False"
"Gold Coast v Brisbane (AFL Rd 3)","13/04/2013","19:40:00","13/04/2013","22:30:00","FALSE","FALSE","","","Brisbane","","Metricon","3","False"
"North Melbourne v Brisbane (AFL Rd 4)","21/04/2013","16:40:00","21/04/2013","19:30:00","FALSE","FALSE","","","Brisbane","","Etihad","3","False"
"Brisbane v Melbourne (AFL Rd 5)","28/04/2013","15:15:00","28/04/2013","18:05:00","FALSE","FALSE","","","Brisbane","","Gabba","3","False"
"Sydney v Brisbane (AFL Rd 6)","05/05/2013","13:10:00","05/05/2013","16:00:00","FALSE","FALSE","","","Brisbane","","SCG","3","False"
"Brisbane v West Coast (AFL Rd 7)","11/05/2013","14:10:00","11/05/2013","17:00:00","FALSE","FALSE","","","Brisbane","","Gabba","3","False"
"Essendon v Brisbane (AFL Rd 8)","18/05/2013","13:45:00","18/05/2013","16:35:00","FALSE","FALSE","","","Brisbane","","Etihad","3","False"
"Brisbane v Carlton (AFL Rd 9)","25/05/2013","19:40:00","25/05/2013","22:30:00","FALSE","FALSE","","","Brisbane","","Gabba","3","False"
"Brisbane v Collingwood (AFL Rd 10)","31/05/2013","19:50:00","31/05/2013","22:40:00","FALSE","FALSE","","","Brisbane","","Gabba","3","False"
"Brisbane v BYE (AFL Rd 11)","07/06/2013","00:00:00","08/06/2013","00:00:00","TRUE","FALSE","","","Brisbane","","MCG","3","False"
"Fremantle v Brisbane (AFL Rd 12)","15/06/2013","16:40:00","15/06/2013","19:30:00","FALSE","FALSE","","","Brisbane","","Patersons","3","False"
"Brisbane v Geelong (AFL Rd 13)","23/06/2013","16:40:00","23/06/2013","19:30:00","FALSE","FALSE","","","Brisbane","","Gabba","3","False"
"Hawthorn v Brisbane (AFL Rd 14)","30/06/2013","13:10:00","30/06/2013","16:00:00","FALSE","FALSE","","","Brisbane","","Aurora","3","False"
"Brisbane v Gold Coast (AFL Rd 15)","06/07/2013","16:40:00","06/07/2013","19:30:00","FALSE","FALSE","","","Brisbane","","Gabba","3","False"
"Brisbane v North Melbourne (AFL Rd 16)","13/07/2013","19:40:00","13/07/2013","22:30:00","FALSE","FALSE","","","Brisbane","","Gabba","3","False"
"Melbourne v Brisbane (AFL Rd 17)","20/07/2013","19:40:00","20/07/2013","22:30:00","FALSE","FALSE","","","Brisbane","","TIO","3","False"
"Port Adelaide v Brisbane (AFL Rd 18)","28/07/2013","13:10:00","28/07/2013","16:00:00","FALSE","FALSE","","","Brisbane","","AAMI","3","False"
"Brisbane v St Kilda (AFL Rd 19)","03/08/2013","19:40:00","03/08/2013","22:30:00","FALSE","FALSE","","","Brisbane","","Gabba","3","False"
"Richmond v Brisbane (AFL Rd 20)","10/08/2013","13:45:00","10/08/2013","16:35:00","FALSE","FALSE","","","Brisbane","","MCG","3","False"
"Brisbane v Greater Western Sydney (AFL Rd 21)","17/08/2013","19:40:00","17/08/2013","22:30:00","FALSE","FALSE","","","Brisbane","","Gabba","3","False"
"Brisbane v Western Bulldogs (AFL Rd 22)","25/08/2013","16:40:00","25/08/2013","19:30:00","FALSE","FALSE","","","Brisbane","","Gabba","3","False"
"Geelong v Brisbane (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","Brisbane","","Simonds","3","False"
