"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Carlton v Richmond (AFL Rd 1)","28/03/2013","19:40:00","28/03/2013","22:30:00","FALSE","FALSE","","","Carlton","","MCG","3","False"
"Collingwood v Carlton (AFL Rd 2)","07/04/2013","15:15:00","07/04/2013","18:05:00","FALSE","FALSE","","","Carlton","","MCG","3","False"
"Geelong v Carlton (AFL Rd 3)","13/04/2013","19:40:00","13/04/2013","22:30:00","FALSE","FALSE","","","Carlton","","Etihad","3","False"
"West Coast v Carlton (AFL Rd 4)","20/04/2013","19:40:00","20/04/2013","22:30:00","FALSE","FALSE","","","Carlton","","Patersons","3","False"
"Carlton v Adelaide (AFL Rd 5)","27/04/2013","16:40:00","27/04/2013","19:30:00","FALSE","FALSE","","","Carlton","","MCG","3","False"
"Carlton v Melbourne (AFL Rd 6)","05/05/2013","15:15:00","05/05/2013","18:05:00","FALSE","FALSE","","","Carlton","","MCG","3","False"
"St Kilda v Carlton (AFL Rd 7)","13/05/2013","19:40:00","13/05/2013","22:30:00","FALSE","FALSE","","","Carlton","","Etihad","3","False"
"Carlton v Port Adelaide (AFL Rd 8)","19/05/2013","13:10:00","19/05/2013","16:00:00","FALSE","FALSE","","","Carlton","","Etihad","3","False"
"Brisbane v Carlton (AFL Rd 9)","25/05/2013","19:40:00","25/05/2013","22:30:00","FALSE","FALSE","","","Carlton","","Gabba","3","False"
"Carlton v Greater Western Sydney (AFL Rd 10)","01/06/2013","13:45:00","01/06/2013","16:35:00","FALSE","FALSE","","","Carlton","","Etihad","3","False"
"Essendon v Carlton (AFL Rd 11)","07/06/2013","19:50:00","07/06/2013","22:40:00","FALSE","FALSE","","","Carlton","","MCG","3","False"
"Carlton v Hawthorn (AFL Rd 12)","14/06/2013","19:50:00","14/06/2013","22:40:00","FALSE","FALSE","","","Carlton","","Etihad","3","False"
"Carlton v BYE (AFL Rd 13)","21/06/2013","00:00:00","22/06/2013","00:00:00","TRUE","FALSE","","","Carlton","","Gabba","3","False"
"Sydney v Carlton (AFL Rd 14)","28/06/2013","19:50:00","28/06/2013","22:40:00","FALSE","FALSE","","","Carlton","","SCG","3","False"
"Carlton v Collingwood (AFL Rd 15)","05/07/2013","19:50:00","05/07/2013","22:40:00","FALSE","FALSE","","","Carlton","","MCG","3","False"
"Carlton v St Kilda (AFL Rd 16)","13/07/2013","19:40:00","13/07/2013","22:30:00","FALSE","FALSE","","","Carlton","","Etihad","3","False"
"North Melbourne v Carlton (AFL Rd 17)","19/07/2013","19:50:00","19/07/2013","22:40:00","FALSE","FALSE","","","Carlton","","Etihad","3","False"
"Gold Coast v Carlton (AFL Rd 18)","27/07/2013","13:45:00","27/07/2013","16:35:00","FALSE","FALSE","","","Carlton","","Metricon","3","False"
"Carlton v Fremantle (AFL Rd 19)","03/08/2013","19:40:00","03/08/2013","22:30:00","FALSE","FALSE","","","Carlton","","Etihad","3","False"
"Carlton v Western Bulldogs (AFL Rd 20)","10/08/2013","16:40:00","10/08/2013","19:30:00","FALSE","FALSE","","","Carlton","","Etihad","3","False"
"Richmond v Carlton (AFL Rd 21)","17/08/2013","13:45:00","17/08/2013","16:35:00","FALSE","FALSE","","","Carlton","","MCG","3","False"
"Carlton v Essendon (AFL Rd 22)","24/08/2013","19:40:00","24/08/2013","22:30:00","FALSE","FALSE","","","Carlton","","MCG","3","False"
"Port Adelaide v Carlton (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","Carlton","","AAMI","3","False"
