"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"North Melbourne v Collingwood (AFL Rd 1)","31/03/2013","16:40:00","31/03/2013","19:30:00","FALSE","FALSE","","","Collingwood","","Etihad","3","False"
"Collingwood v Carlton (AFL Rd 2)","07/04/2013","15:15:00","07/04/2013","18:05:00","FALSE","FALSE","","","Collingwood","","MCG","3","False"
"Collingwood v Hawthorn (AFL Rd 3)","14/04/2013","15:15:00","14/04/2013","18:05:00","FALSE","FALSE","","","Collingwood","","MCG","3","False"
"Richmond v Collingwood (AFL Rd 4)","20/04/2013","14:10:00","20/04/2013","17:00:00","FALSE","FALSE","","","Collingwood","","MCG","3","False"
"Essendon v Collingwood (AFL Rd 5)","25/04/2013","14:40:00","25/04/2013","17:30:00","FALSE","FALSE","","","Collingwood","","MCG","3","False"
"Collingwood v St Kilda (AFL Rd 6)","03/05/2013","19:50:00","03/05/2013","22:40:00","FALSE","FALSE","","","Collingwood","","Etihad","3","False"
"Fremantle v Collingwood (AFL Rd 7)","11/05/2013","19:40:00","11/05/2013","22:30:00","FALSE","FALSE","","","Collingwood","","Patersons","3","False"
"Collingwood v Geelong (AFL Rd 8)","18/05/2013","19:40:00","18/05/2013","22:30:00","FALSE","FALSE","","","Collingwood","","MCG","3","False"
"Collingwood v Sydney (AFL Rd 9)","24/05/2013","19:50:00","24/05/2013","22:40:00","FALSE","FALSE","","","Collingwood","","MCG","3","False"
"Brisbane v Collingwood (AFL Rd 10)","31/05/2013","19:50:00","31/05/2013","22:40:00","FALSE","FALSE","","","Collingwood","","Gabba","3","False"
"Melbourne v Collingwood (AFL Rd 11)","10/06/2013","15:15:00","10/06/2013","18:05:00","FALSE","FALSE","","","Collingwood","","MCG","3","False"
"Collingwood v Western Bulldogs (AFL Rd 12)","16/06/2013","16:40:00","16/06/2013","19:30:00","FALSE","FALSE","","","Collingwood","","Etihad","3","False"
"Collingwood v BYE (AFL Rd 13)","21/06/2013","00:00:00","22/06/2013","00:00:00","TRUE","FALSE","","","Collingwood","","Gabba","3","False"
"Port Adelaide v Collingwood (AFL Rd 14)","29/06/2013","16:40:00","29/06/2013","19:30:00","FALSE","FALSE","","","Collingwood","","AAMI","3","False"
"Carlton v Collingwood (AFL Rd 15)","05/07/2013","19:50:00","05/07/2013","22:40:00","FALSE","FALSE","","","Collingwood","","MCG","3","False"
"Collingwood v Adelaide (AFL Rd 16)","12/07/2013","19:50:00","12/07/2013","22:40:00","FALSE","FALSE","","","Collingwood","","MCG","3","False"
"Gold Coast v Collingwood (AFL Rd 17)","20/07/2013","16:40:00","20/07/2013","19:30:00","FALSE","FALSE","","","Collingwood","","Metricon","3","False"
"Collingwood v Greater Western Sydney (AFL Rd 18)","27/07/2013","16:40:00","27/07/2013","19:30:00","FALSE","FALSE","","","Collingwood","","MCG","3","False"
"Collingwood v Essendon (AFL Rd 19)","04/08/2013","16:40:00","04/08/2013","19:30:00","FALSE","FALSE","","","Collingwood","","MCG","3","False"
"Sydney v Collingwood (AFL Rd 20)","10/08/2013","19:40:00","10/08/2013","22:30:00","FALSE","FALSE","","","Collingwood","","ANZ","3","False"
"Hawthorn v Collingwood (AFL Rd 21)","16/08/2013","19:50:00","16/08/2013","22:40:00","FALSE","FALSE","","","Collingwood","","MCG","3","False"
"Collingwood v West Coast (AFL Rd 22)","23/08/2013","19:50:00","23/08/2013","22:40:00","FALSE","FALSE","","","Collingwood","","MCG","3","False"
"Collingwood v North Melbourne (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","Collingwood","","MCG","3","False"
