"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Adelaide v Essendon (AFL Rd 1)","22/03/2013","20:40:00","22/03/2013","23:30:00","FALSE","FALSE","","","Essendon","","AAMI","3","False"
"Essendon v Melbourne (AFL Rd 2)","06/04/2013","19:40:00","06/04/2013","22:30:00","FALSE","FALSE","","","Essendon","","MCG","3","False"
"Fremantle v Essendon (AFL Rd 3)","12/04/2013","20:40:00","12/04/2013","23:30:00","FALSE","FALSE","","","Essendon","","Patersons","3","False"
"St Kilda v Essendon (AFL Rd 4)","20/04/2013","16:40:00","20/04/2013","19:30:00","FALSE","FALSE","","","Essendon","","Etihad","3","False"
"Essendon v Collingwood (AFL Rd 5)","25/04/2013","14:40:00","25/04/2013","17:30:00","FALSE","FALSE","","","Essendon","","MCG","3","False"
"Essendon v Greater Western Sydney (AFL Rd 6)","04/05/2013","13:45:00","04/05/2013","16:35:00","FALSE","FALSE","","","Essendon","","Etihad","3","False"
"Geelong v Essendon (AFL Rd 7)","10/05/2013","19:50:00","10/05/2013","22:40:00","FALSE","FALSE","","","Essendon","","Etihad","3","False"
"Essendon v Brisbane (AFL Rd 8)","18/05/2013","13:45:00","18/05/2013","16:35:00","FALSE","FALSE","","","Essendon","","Etihad","3","False"
"Richmond v Essendon (AFL Rd 9)","25/05/2013","19:45:00","25/05/2013","22:35:00","FALSE","FALSE","","","Essendon","","MCG","3","False"
"Sydney v Essendon (AFL Rd 10)","01/06/2013","16:40:00","01/06/2013","19:30:00","FALSE","FALSE","","","Essendon","","SCG","3","False"
"Essendon v Carlton (AFL Rd 11)","07/06/2013","19:50:00","07/06/2013","22:40:00","FALSE","FALSE","","","Essendon","","MCG","3","False"
"Essendon v Gold Coast (AFL Rd 12)","15/06/2013","19:40:00","15/06/2013","22:30:00","FALSE","FALSE","","","Essendon","","Etihad","3","False"
"Essendon v BYE (AFL Rd 13)","21/06/2013","00:00:00","22/06/2013","00:00:00","TRUE","FALSE","","","Essendon","","Gabba","3","False"
"West Coast v Essendon (AFL Rd 14)","27/06/2013","20:10:00","27/06/2013","23:00:00","FALSE","FALSE","","","Essendon","","Patersons","3","False"
"Essendon v Port Adelaide (AFL Rd 15)","07/07/2013","16:40:00","07/07/2013","19:30:00","FALSE","FALSE","","","Essendon","","Etihad","3","False"
"Western Bulldogs v Essendon (AFL Rd 16)","14/07/2013","15:15:00","14/07/2013","18:05:00","FALSE","FALSE","","","Essendon","","Etihad","3","False"
"Greater Western Sydney v Essendon (AFL Rd 17)","20/07/2013","19:40:00","20/07/2013","22:30:00","FALSE","FALSE","","","Essendon","","Skoda","3","False"
"Essendon v Hawthorn (AFL Rd 18)","26/07/2013","19:50:00","26/07/2013","22:40:00","FALSE","FALSE","","","Essendon","","Etihad","3","False"
"Collingwood v Essendon (AFL Rd 19)","04/08/2013","16:40:00","04/08/2013","19:30:00","FALSE","FALSE","","","Essendon","","MCG","3","False"
"Essendon v West Coast (AFL Rd 20)","11/08/2013","13:10:00","11/08/2013","16:00:00","FALSE","FALSE","","","Essendon","","Etihad","3","False"
"Essendon v North Melbourne (AFL Rd 21)","17/08/2013","16:40:00","17/08/2013","19:30:00","FALSE","FALSE","","","Essendon","","Etihad","3","False"
"Carlton v Essendon (AFL Rd 22)","24/08/2013","19:40:00","24/08/2013","22:30:00","FALSE","FALSE","","","Essendon","","MCG","3","False"
"Essendon v Richmond (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","Essendon","","MCG","3","False"
