"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Fremantle v West Coast (AFL Rd 1)","23/03/2013","19:40:00","23/03/2013","22:30:00","FALSE","FALSE","","","Fremantle","","Patersons","3","False"
"Western Bulldogs v Fremantle (AFL Rd 2)","06/04/2013","14:10:00","06/04/2013","17:00:00","FALSE","FALSE","","","Fremantle","","Etihad","3","False"
"Fremantle v Essendon (AFL Rd 3)","12/04/2013","20:40:00","12/04/2013","23:30:00","FALSE","FALSE","","","Fremantle","","Patersons","3","False"
"Hawthorn v Fremantle (AFL Rd 4)","20/04/2013","13:45:00","20/04/2013","16:35:00","FALSE","FALSE","","","Fremantle","","Aurora","3","False"
"Fremantle v Richmond (AFL Rd 5)","26/04/2013","20:40:00","26/04/2013","23:30:00","FALSE","FALSE","","","Fremantle","","Patersons","3","False"
"Gold Coast v Fremantle (AFL Rd 6)","04/05/2013","19:40:00","04/05/2013","22:30:00","FALSE","FALSE","","","Fremantle","","Metricon","3","False"
"Fremantle v Collingwood (AFL Rd 7)","11/05/2013","19:40:00","11/05/2013","22:30:00","FALSE","FALSE","","","Fremantle","","Patersons","3","False"
"Sydney v Fremantle (AFL Rd 8)","18/05/2013","19:40:00","18/05/2013","22:30:00","FALSE","FALSE","","","Fremantle","","SCG","3","False"
"Fremantle v Melbourne (AFL Rd 9)","26/05/2013","16:40:00","26/05/2013","19:30:00","FALSE","FALSE","","","Fremantle","","Patersons","3","False"
"Adelaide v Fremantle (AFL Rd 10)","01/06/2013","14:10:00","01/06/2013","17:00:00","FALSE","FALSE","","","Fremantle","","AAMI","3","False"
"Fremantle v BYE (AFL Rd 11)","07/06/2013","00:00:00","08/06/2013","00:00:00","TRUE","FALSE","","","Fremantle","","MCG","3","False"
"Fremantle v Brisbane (AFL Rd 12)","15/06/2013","16:40:00","15/06/2013","19:30:00","FALSE","FALSE","","","Fremantle","","Patersons","3","False"
"Fremantle v North Melbourne (AFL Rd 13)","23/06/2013","15:15:00","23/06/2013","18:05:00","FALSE","FALSE","","","Fremantle","","Patersons","3","False"
"Geelong v Fremantle (AFL Rd 14)","29/06/2013","19:40:00","29/06/2013","22:30:00","FALSE","FALSE","","","Fremantle","","Simonds","3","False"
"Fremantle v St Kilda (AFL Rd 15)","07/07/2013","15:15:00","07/07/2013","18:05:00","FALSE","FALSE","","","Fremantle","","Patersons","3","False"
"West Coast v Fremantle (AFL Rd 16)","14/07/2013","16:40:00","14/07/2013","19:30:00","FALSE","FALSE","","","Fremantle","","Patersons","3","False"
"Richmond v Fremantle (AFL Rd 17)","21/07/2013","13:10:00","21/07/2013","16:00:00","FALSE","FALSE","","","Fremantle","","MCG","3","False"
"Fremantle v Adelaide (AFL Rd 18)","27/07/2013","19:40:00","27/07/2013","22:30:00","FALSE","FALSE","","","Fremantle","","Patersons","3","False"
"Carlton v Fremantle (AFL Rd 19)","03/08/2013","19:40:00","03/08/2013","22:30:00","FALSE","FALSE","","","Fremantle","","Etihad","3","False"
"Fremantle v Greater Western Sydney (AFL Rd 20)","11/08/2013","16:40:00","11/08/2013","19:30:00","FALSE","FALSE","","","Fremantle","","Patersons","3","False"
"Melbourne v Fremantle (AFL Rd 21)","18/08/2013","13:10:00","18/08/2013","16:00:00","FALSE","FALSE","","","Fremantle","","MCG","3","False"
"Fremantle v Port Adelaide (AFL Rd 22)","24/08/2013","19:40:00","24/08/2013","22:30:00","FALSE","FALSE","","","Fremantle","","Patersons","3","False"
"St Kilda v Fremantle (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","Fremantle","","Etihad","3","False"
