"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Hawthorn v Geelong (AFL Rd 1)","01/04/2013","15:15:00","01/04/2013","18:05:00","FALSE","FALSE","","","Geelong","","MCG","3","False"
"Geelong v North Melbourne (AFL Rd 2)","07/04/2013","13:10:00","07/04/2013","16:00:00","FALSE","FALSE","","","Geelong","","Etihad","3","False"
"Geelong v Carlton (AFL Rd 3)","13/04/2013","19:40:00","13/04/2013","22:30:00","FALSE","FALSE","","","Geelong","","Etihad","3","False"
"Sydney v Geelong (AFL Rd 4)","19/04/2013","19:50:00","19/04/2013","22:40:00","FALSE","FALSE","","","Geelong","","SCG","3","False"
"Western Bulldogs v Geelong (AFL Rd 5)","27/04/2013","19:40:00","27/04/2013","22:30:00","FALSE","FALSE","","","Geelong","","Etihad","3","False"
"Richmond v Geelong (AFL Rd 6)","04/05/2013","19:40:00","04/05/2013","22:30:00","FALSE","FALSE","","","Geelong","","MCG","3","False"
"Geelong v Essendon (AFL Rd 7)","10/05/2013","19:50:00","10/05/2013","22:40:00","FALSE","FALSE","","","Geelong","","Etihad","3","False"
"Collingwood v Geelong (AFL Rd 8)","18/05/2013","19:40:00","18/05/2013","22:30:00","FALSE","FALSE","","","Geelong","","MCG","3","False"
"Port Adelaide v Geelong (AFL Rd 9)","25/05/2013","13:45:00","25/05/2013","16:35:00","FALSE","FALSE","","","Geelong","","AAMI","3","False"
"Geelong v Gold Coast (AFL Rd 10)","01/06/2013","19:40:00","01/06/2013","22:30:00","FALSE","FALSE","","","Geelong","","Simonds","3","False"
"Greater Western Sydney v Geelong (AFL Rd 11)","08/06/2013","13:40:00","08/06/2013","16:30:00","FALSE","FALSE","","","Geelong","","Skoda","3","False"
"Geelong v BYE (AFL Rd 12)","14/06/2013","00:00:00","15/06/2013","00:00:00","TRUE","FALSE","","","Geelong","","Etihad","3","False"
"Brisbane v Geelong (AFL Rd 13)","23/06/2013","16:40:00","23/06/2013","19:30:00","FALSE","FALSE","","","Geelong","","Gabba","3","False"
"Geelong v Fremantle (AFL Rd 14)","29/06/2013","19:40:00","29/06/2013","22:30:00","FALSE","FALSE","","","Geelong","","Simonds","3","False"
"Geelong v Hawthorn (AFL Rd 15)","06/07/2013","19:40:00","06/07/2013","22:30:00","FALSE","FALSE","","","Geelong","","MCG","3","False"
"Geelong v Melbourne (AFL Rd 16)","13/07/2013","14:10:00","13/07/2013","17:00:00","FALSE","FALSE","","","Geelong","","Simonds","3","False"
"Adelaide v Geelong (AFL Rd 17)","21/07/2013","15:15:00","21/07/2013","18:05:00","FALSE","FALSE","","","Geelong","","AAMI","3","False"
"Geelong v St Kilda (AFL Rd 18)","27/07/2013","19:40:00","27/07/2013","22:30:00","FALSE","FALSE","","","Geelong","","Simonds","3","False"
"North Melbourne v Geelong (AFL Rd 19)","02/08/2013","19:50:00","02/08/2013","22:40:00","FALSE","FALSE","","","Geelong","","Etihad","3","False"
"Geelong v Port Adelaide (AFL Rd 20)","10/08/2013","14:10:00","10/08/2013","17:00:00","FALSE","FALSE","","","Geelong","","Simonds","3","False"
"West Coast v Geelong (AFL Rd 21)","17/08/2013","19:40:00","17/08/2013","22:30:00","FALSE","FALSE","","","Geelong","","Patersons","3","False"
"Geelong v Sydney (AFL Rd 22)","24/08/2013","16:40:00","24/08/2013","19:30:00","FALSE","FALSE","","","Geelong","","Simonds","3","False"
"Geelong v Brisbane (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","Geelong","","Simonds","3","False"
