"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Gold Coast v St Kilda (AFL Rd 1)","30/03/2013","19:40:00","30/03/2013","22:30:00","FALSE","FALSE","","","Gold Coast","","Metricon","3","False"
"Sydney v Gold Coast (AFL Rd 2)","06/04/2013","13:45:00","06/04/2013","16:35:00","FALSE","FALSE","","","Gold Coast","","SCG","3","False"
"Gold Coast v Brisbane (AFL Rd 3)","13/04/2013","19:40:00","13/04/2013","22:30:00","FALSE","FALSE","","","Gold Coast","","Metricon","3","False"
"Gold Coast v Port Adelaide (AFL Rd 4)","20/04/2013","19:40:00","20/04/2013","22:30:00","FALSE","FALSE","","","Gold Coast","","Metricon","3","False"
"Greater Western Sydney v Gold Coast (AFL Rd 5)","27/04/2013","13:40:00","27/04/2013","16:30:00","FALSE","FALSE","","","Gold Coast","","Manuka","3","False"
"Gold Coast v Fremantle (AFL Rd 6)","04/05/2013","19:40:00","04/05/2013","22:30:00","FALSE","FALSE","","","Gold Coast","","Metricon","3","False"
"Melbourne v Gold Coast (AFL Rd 7)","12/05/2013","16:40:00","12/05/2013","19:30:00","FALSE","FALSE","","","Gold Coast","","MCG","3","False"
"Gold Coast v Western Bulldogs (AFL Rd 8)","18/05/2013","16:40:00","18/05/2013","19:30:00","FALSE","FALSE","","","Gold Coast","","Metricon","3","False"
"Hawthorn v Gold Coast (AFL Rd 9)","26/05/2013","13:10:00","26/05/2013","16:00:00","FALSE","FALSE","","","Gold Coast","","MCG","3","False"
"Geelong v Gold Coast (AFL Rd 10)","01/06/2013","19:40:00","01/06/2013","22:30:00","FALSE","FALSE","","","Gold Coast","","Simonds","3","False"
"Gold Coast v North Melbourne (AFL Rd 11)","08/06/2013","19:40:00","08/06/2013","22:30:00","FALSE","FALSE","","","Gold Coast","","Metricon","3","False"
"Essendon v Gold Coast (AFL Rd 12)","15/06/2013","19:40:00","15/06/2013","22:30:00","FALSE","FALSE","","","Gold Coast","","Etihad","3","False"
"Gold Coast v BYE (AFL Rd 13)","21/06/2013","00:00:00","22/06/2013","00:00:00","TRUE","FALSE","","","Gold Coast","","Gabba","3","False"
"Gold Coast v Adelaide (AFL Rd 14)","29/06/2013","13:40:00","29/06/2013","16:30:00","FALSE","FALSE","","","Gold Coast","","Metricon","3","False"
"Brisbane v Gold Coast (AFL Rd 15)","06/07/2013","16:40:00","06/07/2013","19:30:00","FALSE","FALSE","","","Gold Coast","","Gabba","3","False"
"Richmond v Gold Coast (AFL Rd 16)","13/07/2013","16:40:00","13/07/2013","19:30:00","FALSE","FALSE","","","Gold Coast","","Cazalys","3","False"
"Gold Coast v Collingwood (AFL Rd 17)","20/07/2013","16:40:00","20/07/2013","19:30:00","FALSE","FALSE","","","Gold Coast","","Metricon","3","False"
"Gold Coast v Carlton (AFL Rd 18)","27/07/2013","13:45:00","27/07/2013","16:35:00","FALSE","FALSE","","","Gold Coast","","Metricon","3","False"
"West Coast v Gold Coast (AFL Rd 19)","03/08/2013","16:40:00","03/08/2013","19:30:00","FALSE","FALSE","","","Gold Coast","","Patersons","3","False"
"Gold Coast v Melbourne (AFL Rd 20)","10/08/2013","19:40:00","10/08/2013","22:30:00","FALSE","FALSE","","","Gold Coast","","Metricon","3","False"
"Port Adelaide v Gold Coast (AFL Rd 21)","17/08/2013","14:10:00","17/08/2013","17:00:00","FALSE","FALSE","","","Gold Coast","","AAMI","3","False"
"St Kilda v Gold Coast (AFL Rd 22)","25/08/2013","13:10:00","25/08/2013","16:00:00","FALSE","FALSE","","","Gold Coast","","Etihad","3","False"
"Gold Coast v Greater Western Sydney (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","Gold Coast","","Metricon","3","False"
