"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Greater Western Sydney v Sydney (AFL Rd 1)","30/03/2013","16:40:00","30/03/2013","19:30:00","FALSE","FALSE","","","Greater Western Sydney","","ANZ","3","False"
"Port Adelaide v Greater Western Sydney (AFL Rd 2)","06/04/2013","19:40:00","06/04/2013","22:30:00","FALSE","FALSE","","","Greater Western Sydney","","AAMI","3","False"
"Greater Western Sydney v St Kilda (AFL Rd 3)","13/04/2013","16:40:00","13/04/2013","19:30:00","FALSE","FALSE","","","Greater Western Sydney","","Manuka","3","False"
"Melbourne v Greater Western Sydney (AFL Rd 4)","21/04/2013","13:10:00","21/04/2013","16:00:00","FALSE","FALSE","","","Greater Western Sydney","","MCG","3","False"
"Greater Western Sydney v Gold Coast (AFL Rd 5)","27/04/2013","13:40:00","27/04/2013","16:30:00","FALSE","FALSE","","","Greater Western Sydney","","Manuka","3","False"
"Essendon v Greater Western Sydney (AFL Rd 6)","04/05/2013","13:45:00","04/05/2013","16:35:00","FALSE","FALSE","","","Greater Western Sydney","","Etihad","3","False"
"Greater Western Sydney v Adelaide (AFL Rd 7)","12/05/2013","13:10:00","12/05/2013","16:00:00","FALSE","FALSE","","","Greater Western Sydney","","Skoda","3","False"
"Hawthorn v Greater Western Sydney (AFL Rd 8)","18/05/2013","14:10:00","18/05/2013","17:00:00","FALSE","FALSE","","","Greater Western Sydney","","Aurora","3","False"
"Greater Western Sydney v West Coast (AFL Rd 9)","25/05/2013","14:10:00","25/05/2013","17:00:00","FALSE","FALSE","","","Greater Western Sydney","","Skoda","3","False"
"Carlton v Greater Western Sydney (AFL Rd 10)","01/06/2013","13:45:00","01/06/2013","16:35:00","FALSE","FALSE","","","Greater Western Sydney","","Etihad","3","False"
"Greater Western Sydney v Geelong (AFL Rd 11)","08/06/2013","13:40:00","08/06/2013","16:30:00","FALSE","FALSE","","","Greater Western Sydney","","Skoda","3","False"
"Greater Western Sydney v Port Adelaide (AFL Rd 12)","16/06/2013","13:10:00","16/06/2013","16:00:00","FALSE","FALSE","","","Greater Western Sydney","","Skoda","3","False"
"Greater Western Sydney v BYE (AFL Rd 13)","21/06/2013","00:00:00","22/06/2013","00:00:00","TRUE","FALSE","","","Greater Western Sydney","","Gabba","3","False"
"North Melbourne v Greater Western Sydney (AFL Rd 14)","30/06/2013","15:15:00","30/06/2013","18:05:00","FALSE","FALSE","","","Greater Western Sydney","","Etihad","3","False"
"Greater Western Sydney v Western Bulldogs (AFL Rd 15)","06/07/2013","13:45:00","06/07/2013","16:35:00","FALSE","FALSE","","","Greater Western Sydney","","Manuka","3","False"
"Sydney v Greater Western Sydney (AFL Rd 16)","14/07/2013","13:10:00","14/07/2013","16:00:00","FALSE","FALSE","","","Greater Western Sydney","","SCG","3","False"
"Greater Western Sydney v Essendon (AFL Rd 17)","20/07/2013","19:40:00","20/07/2013","22:30:00","FALSE","FALSE","","","Greater Western Sydney","","Skoda","3","False"
"Collingwood v Greater Western Sydney (AFL Rd 18)","27/07/2013","16:40:00","27/07/2013","19:30:00","FALSE","FALSE","","","Greater Western Sydney","","MCG","3","False"
"Greater Western Sydney v Melbourne (AFL Rd 19)","03/08/2013","13:45:00","03/08/2013","16:35:00","FALSE","FALSE","","","Greater Western Sydney","","Skoda","3","False"
"Fremantle v Greater Western Sydney (AFL Rd 20)","11/08/2013","16:40:00","11/08/2013","19:30:00","FALSE","FALSE","","","Greater Western Sydney","","Patersons","3","False"
"Brisbane v Greater Western Sydney (AFL Rd 21)","17/08/2013","19:40:00","17/08/2013","22:30:00","FALSE","FALSE","","","Greater Western Sydney","","Gabba","3","False"
"Greater Western Sydney v Richmond (AFL Rd 22)","25/08/2013","15:15:00","25/08/2013","18:05:00","FALSE","FALSE","","","Greater Western Sydney","","Skoda","3","False"
"Gold Coast v Greater Western Sydney (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","Greater Western Sydney","","Metricon","3","False"
