"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Hawthorn v Geelong (AFL Rd 1)","01/04/2013","15:15:00","01/04/2013","18:05:00","FALSE","FALSE","","","Hawthorn","","MCG","3","False"
"West Coast v Hawthorn (AFL Rd 2)","07/04/2013","16:40:00","07/04/2013","19:30:00","FALSE","FALSE","","","Hawthorn","","Patersons","3","False"
"Collingwood v Hawthorn (AFL Rd 3)","14/04/2013","15:15:00","14/04/2013","18:05:00","FALSE","FALSE","","","Hawthorn","","MCG","3","False"
"Hawthorn v Fremantle (AFL Rd 4)","20/04/2013","13:45:00","20/04/2013","16:35:00","FALSE","FALSE","","","Hawthorn","","Aurora","3","False"
"Hawthorn v North Melbourne (AFL Rd 5)","28/04/2013","16:40:00","28/04/2013","19:30:00","FALSE","FALSE","","","Hawthorn","","MCG","3","False"
"Adelaide v Hawthorn (AFL Rd 6)","04/05/2013","16:40:00","04/05/2013","19:30:00","FALSE","FALSE","","","Hawthorn","","AAMI","3","False"
"Hawthorn v Sydney (AFL Rd 7)","11/05/2013","19:40:00","11/05/2013","22:30:00","FALSE","FALSE","","","Hawthorn","","MCG","3","False"
"Hawthorn v Greater Western Sydney (AFL Rd 8)","18/05/2013","14:10:00","18/05/2013","17:00:00","FALSE","FALSE","","","Hawthorn","","Aurora","3","False"
"Hawthorn v Gold Coast (AFL Rd 9)","26/05/2013","13:10:00","26/05/2013","16:00:00","FALSE","FALSE","","","Hawthorn","","MCG","3","False"
"Melbourne v Hawthorn (AFL Rd 10)","02/06/2013","15:15:00","02/06/2013","18:05:00","FALSE","FALSE","","","Hawthorn","","MCG","3","False"
"Hawthorn v BYE (AFL Rd 11)","07/06/2013","00:00:00","08/06/2013","00:00:00","TRUE","FALSE","","","Hawthorn","","MCG","3","False"
"Carlton v Hawthorn (AFL Rd 12)","14/06/2013","19:50:00","14/06/2013","22:40:00","FALSE","FALSE","","","Hawthorn","","Etihad","3","False"
"Hawthorn v West Coast (AFL Rd 13)","21/06/2013","19:50:00","21/06/2013","22:40:00","FALSE","FALSE","","","Hawthorn","","Etihad","3","False"
"Hawthorn v Brisbane (AFL Rd 14)","30/06/2013","13:10:00","30/06/2013","16:00:00","FALSE","FALSE","","","Hawthorn","","Aurora","3","False"
"Geelong v Hawthorn (AFL Rd 15)","06/07/2013","19:40:00","06/07/2013","22:30:00","FALSE","FALSE","","","Hawthorn","","MCG","3","False"
"Port Adelaide v Hawthorn (AFL Rd 16)","13/07/2013","13:45:00","13/07/2013","16:35:00","FALSE","FALSE","","","Hawthorn","","AAMI","3","False"
"Hawthorn v Western Bulldogs (AFL Rd 17)","20/07/2013","13:45:00","20/07/2013","16:35:00","FALSE","FALSE","","","Hawthorn","","Aurora","3","False"
"Essendon v Hawthorn (AFL Rd 18)","26/07/2013","19:50:00","26/07/2013","22:40:00","FALSE","FALSE","","","Hawthorn","","Etihad","3","False"
"Hawthorn v Richmond (AFL Rd 19)","03/08/2013","14:10:00","03/08/2013","17:00:00","FALSE","FALSE","","","Hawthorn","","MCG","3","False"
"St Kilda v Hawthorn (AFL Rd 20)","09/08/2013","19:50:00","09/08/2013","22:40:00","FALSE","FALSE","","","Hawthorn","","Etihad","3","False"
"Hawthorn v Collingwood (AFL Rd 21)","16/08/2013","19:50:00","16/08/2013","22:40:00","FALSE","FALSE","","","Hawthorn","","MCG","3","False"
"North Melbourne v Hawthorn (AFL Rd 22)","24/08/2013","14:10:00","24/08/2013","17:00:00","FALSE","FALSE","","","Hawthorn","","Etihad","3","False"
"Sydney v Hawthorn (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","Hawthorn","","ANZ","3","False"
