"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Melbourne v Port Adelaide (AFL Rd 1)","31/03/2013","13:10:00","31/03/2013","16:00:00","FALSE","FALSE","","","Melbourne","","MCG","3","False"
"Essendon v Melbourne (AFL Rd 2)","06/04/2013","19:40:00","06/04/2013","22:30:00","FALSE","FALSE","","","Melbourne","","MCG","3","False"
"Melbourne v West Coast (AFL Rd 3)","13/04/2013","14:10:00","13/04/2013","17:00:00","FALSE","FALSE","","","Melbourne","","MCG","3","False"
"Melbourne v Greater Western Sydney (AFL Rd 4)","21/04/2013","13:10:00","21/04/2013","16:00:00","FALSE","FALSE","","","Melbourne","","MCG","3","False"
"Brisbane v Melbourne (AFL Rd 5)","28/04/2013","15:15:00","28/04/2013","18:05:00","FALSE","FALSE","","","Melbourne","","Gabba","3","False"
"Carlton v Melbourne (AFL Rd 6)","05/05/2013","15:15:00","05/05/2013","18:05:00","FALSE","FALSE","","","Melbourne","","MCG","3","False"
"Melbourne v Gold Coast (AFL Rd 7)","12/05/2013","16:40:00","12/05/2013","19:30:00","FALSE","FALSE","","","Melbourne","","MCG","3","False"
"Richmond v Melbourne (AFL Rd 8)","19/05/2013","15:15:00","19/05/2013","18:05:00","FALSE","FALSE","","","Melbourne","","MCG","3","False"
"Fremantle v Melbourne (AFL Rd 9)","26/05/2013","16:40:00","26/05/2013","19:30:00","FALSE","FALSE","","","Melbourne","","Patersons","3","False"
"Melbourne v Hawthorn (AFL Rd 10)","02/06/2013","15:15:00","02/06/2013","18:05:00","FALSE","FALSE","","","Melbourne","","MCG","3","False"
"Melbourne v Collingwood (AFL Rd 11)","10/06/2013","15:15:00","10/06/2013","18:05:00","FALSE","FALSE","","","Melbourne","","MCG","3","False"
"Melbourne v BYE (AFL Rd 12)","14/06/2013","00:00:00","15/06/2013","00:00:00","TRUE","FALSE","","","Melbourne","","Etihad","3","False"
"St Kilda v Melbourne (AFL Rd 13)","22/06/2013","16:40:00","22/06/2013","19:30:00","FALSE","FALSE","","","Melbourne","","MCG","3","False"
"Melbourne v Western Bulldogs (AFL Rd 14)","29/06/2013","19:40:00","29/06/2013","22:30:00","FALSE","FALSE","","","Melbourne","","MCG","3","False"
"Melbourne v Sydney (AFL Rd 15)","07/07/2013","13:10:00","07/07/2013","16:00:00","FALSE","FALSE","","","Melbourne","","MCG","3","False"
"Geelong v Melbourne (AFL Rd 16)","13/07/2013","14:10:00","13/07/2013","17:00:00","FALSE","FALSE","","","Melbourne","","Simonds","3","False"
"Melbourne v Brisbane (AFL Rd 17)","20/07/2013","19:40:00","20/07/2013","22:30:00","FALSE","FALSE","","","Melbourne","","TIO","3","False"
"Melbourne v North Melbourne (AFL Rd 18)","27/07/2013","14:10:00","27/07/2013","17:00:00","FALSE","FALSE","","","Melbourne","","Etihad","3","False"
"Greater Western Sydney v Melbourne (AFL Rd 19)","03/08/2013","13:45:00","03/08/2013","16:35:00","FALSE","FALSE","","","Melbourne","","Skoda","3","False"
"Gold Coast v Melbourne (AFL Rd 20)","10/08/2013","19:40:00","10/08/2013","22:30:00","FALSE","FALSE","","","Melbourne","","Metricon","3","False"
"Melbourne v Fremantle (AFL Rd 21)","18/08/2013","13:10:00","18/08/2013","16:00:00","FALSE","FALSE","","","Melbourne","","MCG","3","False"
"Adelaide v Melbourne (AFL Rd 22)","24/08/2013","13:45:00","24/08/2013","16:35:00","FALSE","FALSE","","","Melbourne","","AAMI","3","False"
"Western Bulldogs v Melbourne (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","Melbourne","","Etihad","3","False"
