"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"North Melbourne v Collingwood (AFL Rd 1)","31/03/2013","16:40:00","31/03/2013","19:30:00","FALSE","FALSE","","","North Melbourne","","Etihad","3","False"
"Geelong v North Melbourne (AFL Rd 2)","07/04/2013","13:10:00","07/04/2013","16:00:00","FALSE","FALSE","","","North Melbourne","","Etihad","3","False"
"North Melbourne v Sydney (AFL Rd 3)","13/04/2013","13:45:00","13/04/2013","16:35:00","FALSE","FALSE","","","North Melbourne","","Blundstone","3","False"
"North Melbourne v Brisbane (AFL Rd 4)","21/04/2013","16:40:00","21/04/2013","19:30:00","FALSE","FALSE","","","North Melbourne","","Etihad","3","False"
"Hawthorn v North Melbourne (AFL Rd 5)","28/04/2013","16:40:00","28/04/2013","19:30:00","FALSE","FALSE","","","North Melbourne","","MCG","3","False"
"North Melbourne v Port Adelaide (AFL Rd 6)","04/05/2013","14:10:00","04/05/2013","17:00:00","FALSE","FALSE","","","North Melbourne","","Blundstone","3","False"
"Western Bulldogs v North Melbourne (AFL Rd 7)","11/05/2013","16:40:00","11/05/2013","19:30:00","FALSE","FALSE","","","North Melbourne","","Etihad","3","False"
"West Coast v North Melbourne (AFL Rd 8)","17/05/2013","20:40:00","17/05/2013","23:30:00","FALSE","FALSE","","","North Melbourne","","Patersons","3","False"
"North Melbourne v Adelaide (AFL Rd 9)","26/05/2013","15:15:00","26/05/2013","18:05:00","FALSE","FALSE","","","North Melbourne","","Etihad","3","False"
"North Melbourne v St Kilda (AFL Rd 10)","02/06/2013","16:40:00","02/06/2013","19:30:00","FALSE","FALSE","","","North Melbourne","","Etihad","3","False"
"Gold Coast v North Melbourne (AFL Rd 11)","08/06/2013","19:40:00","08/06/2013","22:30:00","FALSE","FALSE","","","North Melbourne","","Metricon","3","False"
"North Melbourne v BYE (AFL Rd 12)","14/06/2013","00:00:00","15/06/2013","00:00:00","TRUE","FALSE","","","North Melbourne","","Etihad","3","False"
"Fremantle v North Melbourne (AFL Rd 13)","23/06/2013","15:15:00","23/06/2013","18:05:00","FALSE","FALSE","","","North Melbourne","","Patersons","3","False"
"North Melbourne v Greater Western Sydney (AFL Rd 14)","30/06/2013","15:15:00","30/06/2013","18:05:00","FALSE","FALSE","","","North Melbourne","","Etihad","3","False"
"North Melbourne v Richmond (AFL Rd 15)","06/07/2013","14:10:00","06/07/2013","17:00:00","FALSE","FALSE","","","North Melbourne","","Etihad","3","False"
"Brisbane v North Melbourne (AFL Rd 16)","13/07/2013","19:40:00","13/07/2013","22:30:00","FALSE","FALSE","","","North Melbourne","","Gabba","3","False"
"North Melbourne v Carlton (AFL Rd 17)","19/07/2013","19:50:00","19/07/2013","22:40:00","FALSE","FALSE","","","North Melbourne","","Etihad","3","False"
"Melbourne v North Melbourne (AFL Rd 18)","27/07/2013","14:10:00","27/07/2013","17:00:00","FALSE","FALSE","","","North Melbourne","","Etihad","3","False"
"North Melbourne v Geelong (AFL Rd 19)","02/08/2013","19:50:00","02/08/2013","22:40:00","FALSE","FALSE","","","North Melbourne","","Etihad","3","False"
"Adelaide v North Melbourne (AFL Rd 20)","11/08/2013","15:15:00","11/08/2013","18:05:00","FALSE","FALSE","","","North Melbourne","","AAMI","3","False"
"Essendon v North Melbourne (AFL Rd 21)","17/08/2013","16:40:00","17/08/2013","19:30:00","FALSE","FALSE","","","North Melbourne","","Etihad","3","False"
"North Melbourne v Hawthorn (AFL Rd 22)","24/08/2013","14:10:00","24/08/2013","17:00:00","FALSE","FALSE","","","North Melbourne","","Etihad","3","False"
"Collingwood v North Melbourne (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","North Melbourne","","MCG","3","False"
