"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Melbourne v Port Adelaide (AFL Rd 1)","31/03/2013","13:10:00","31/03/2013","16:00:00","FALSE","FALSE","","","Port Adelaide","","MCG","3","False"
"Port Adelaide v Greater Western Sydney (AFL Rd 2)","06/04/2013","19:40:00","06/04/2013","22:30:00","FALSE","FALSE","","","Port Adelaide","","AAMI","3","False"
"Port Adelaide v Adelaide (AFL Rd 3)","14/04/2013","16:40:00","14/04/2013","19:30:00","FALSE","FALSE","","","Port Adelaide","","AAMI","3","False"
"Gold Coast v Port Adelaide (AFL Rd 4)","20/04/2013","19:40:00","20/04/2013","22:30:00","FALSE","FALSE","","","Port Adelaide","","Metricon","3","False"
"Port Adelaide v West Coast (AFL Rd 5)","27/04/2013","19:40:00","27/04/2013","22:30:00","FALSE","FALSE","","","Port Adelaide","","AAMI","3","False"
"North Melbourne v Port Adelaide (AFL Rd 6)","04/05/2013","14:10:00","04/05/2013","17:00:00","FALSE","FALSE","","","Port Adelaide","","Blundstone","3","False"
"Port Adelaide v Richmond (AFL Rd 7)","11/05/2013","13:45:00","11/05/2013","16:35:00","FALSE","FALSE","","","Port Adelaide","","AAMI","3","False"
"Carlton v Port Adelaide (AFL Rd 8)","19/05/2013","13:10:00","19/05/2013","16:00:00","FALSE","FALSE","","","Port Adelaide","","Etihad","3","False"
"Port Adelaide v Geelong (AFL Rd 9)","25/05/2013","13:45:00","25/05/2013","16:35:00","FALSE","FALSE","","","Port Adelaide","","AAMI","3","False"
"Western Bulldogs v Port Adelaide (AFL Rd 10)","01/06/2013","19:40:00","01/06/2013","22:30:00","FALSE","FALSE","","","Port Adelaide","","TIO","3","False"
"Port Adelaide v BYE (AFL Rd 11)","07/06/2013","00:00:00","08/06/2013","00:00:00","TRUE","FALSE","","","Port Adelaide","","MCG","3","False"
"Greater Western Sydney v Port Adelaide (AFL Rd 12)","16/06/2013","13:10:00","16/06/2013","16:00:00","FALSE","FALSE","","","Port Adelaide","","Skoda","3","False"
"Port Adelaide v Sydney (AFL Rd 13)","22/06/2013","13:40:00","22/06/2013","16:30:00","FALSE","FALSE","","","Port Adelaide","","AAMI","3","False"
"Port Adelaide v Collingwood (AFL Rd 14)","29/06/2013","16:40:00","29/06/2013","19:30:00","FALSE","FALSE","","","Port Adelaide","","AAMI","3","False"
"Essendon v Port Adelaide (AFL Rd 15)","07/07/2013","16:40:00","07/07/2013","19:30:00","FALSE","FALSE","","","Port Adelaide","","Etihad","3","False"
"Port Adelaide v Hawthorn (AFL Rd 16)","13/07/2013","13:45:00","13/07/2013","16:35:00","FALSE","FALSE","","","Port Adelaide","","AAMI","3","False"
"St Kilda v Port Adelaide (AFL Rd 17)","20/07/2013","14:10:00","20/07/2013","17:00:00","FALSE","FALSE","","","Port Adelaide","","Etihad","3","False"
"Port Adelaide v Brisbane (AFL Rd 18)","28/07/2013","13:10:00","28/07/2013","16:00:00","FALSE","FALSE","","","Port Adelaide","","AAMI","3","False"
"Adelaide v Port Adelaide (AFL Rd 19)","04/08/2013","15:15:00","04/08/2013","18:05:00","FALSE","FALSE","","","Port Adelaide","","AAMI","3","False"
"Geelong v Port Adelaide (AFL Rd 20)","10/08/2013","14:10:00","10/08/2013","17:00:00","FALSE","FALSE","","","Port Adelaide","","Simonds","3","False"
"Port Adelaide v Gold Coast (AFL Rd 21)","17/08/2013","14:10:00","17/08/2013","17:00:00","FALSE","FALSE","","","Port Adelaide","","AAMI","3","False"
"Fremantle v Port Adelaide (AFL Rd 22)","24/08/2013","19:40:00","24/08/2013","22:30:00","FALSE","FALSE","","","Port Adelaide","","Patersons","3","False"
"Port Adelaide v Carlton (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","Port Adelaide","","AAMI","3","False"
