"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Carlton v Richmond (AFL Rd 1)","28/03/2013","19:40:00","28/03/2013","22:30:00","FALSE","FALSE","","","Richmond","","MCG","3","False"
"St Kilda v Richmond (AFL Rd 2)","05/04/2013","19:50:00","05/04/2013","22:40:00","FALSE","FALSE","","","Richmond","","MCG","3","False"
"Richmond v Western Bulldogs (AFL Rd 3)","14/04/2013","13:10:00","14/04/2013","16:00:00","FALSE","FALSE","","","Richmond","","Etihad","3","False"
"Richmond v Collingwood (AFL Rd 4)","20/04/2013","14:10:00","20/04/2013","17:00:00","FALSE","FALSE","","","Richmond","","MCG","3","False"
"Fremantle v Richmond (AFL Rd 5)","26/04/2013","20:40:00","26/04/2013","23:30:00","FALSE","FALSE","","","Richmond","","Patersons","3","False"
"Richmond v Geelong (AFL Rd 6)","04/05/2013","19:40:00","04/05/2013","22:30:00","FALSE","FALSE","","","Richmond","","MCG","3","False"
"Port Adelaide v Richmond (AFL Rd 7)","11/05/2013","13:45:00","11/05/2013","16:35:00","FALSE","FALSE","","","Richmond","","AAMI","3","False"
"Richmond v Melbourne (AFL Rd 8)","19/05/2013","15:15:00","19/05/2013","18:05:00","FALSE","FALSE","","","Richmond","","MCG","3","False"
"Richmond v Essendon (AFL Rd 9)","25/05/2013","19:45:00","25/05/2013","22:35:00","FALSE","FALSE","","","Richmond","","MCG","3","False"
"West Coast v Richmond (AFL Rd 10)","03/06/2013","19:40:00","03/06/2013","22:30:00","FALSE","FALSE","","","Richmond","","Patersons","3","False"
"Richmond v BYE (AFL Rd 11)","07/06/2013","00:00:00","08/06/2013","00:00:00","TRUE","FALSE","","","Richmond","","MCG","3","False"
"Richmond v Adelaide (AFL Rd 12)","15/06/2013","13:40:00","15/06/2013","16:30:00","FALSE","FALSE","","","Richmond","","MCG","3","False"
"Western Bulldogs v Richmond (AFL Rd 13)","22/06/2013","19:40:00","22/06/2013","22:30:00","FALSE","FALSE","","","Richmond","","Etihad","3","False"
"Richmond v St Kilda (AFL Rd 14)","30/06/2013","16:40:00","30/06/2013","19:30:00","FALSE","FALSE","","","Richmond","","MCG","3","False"
"North Melbourne v Richmond (AFL Rd 15)","06/07/2013","14:10:00","06/07/2013","17:00:00","FALSE","FALSE","","","Richmond","","Etihad","3","False"
"Richmond v Gold Coast (AFL Rd 16)","13/07/2013","16:40:00","13/07/2013","19:30:00","FALSE","FALSE","","","Richmond","","Cazalys","3","False"
"Richmond v Fremantle (AFL Rd 17)","21/07/2013","13:10:00","21/07/2013","16:00:00","FALSE","FALSE","","","Richmond","","MCG","3","False"
"Sydney v Richmond (AFL Rd 18)","28/07/2013","16:40:00","28/07/2013","19:30:00","FALSE","FALSE","","","Richmond","","SCG","3","False"
"Hawthorn v Richmond (AFL Rd 19)","03/08/2013","14:10:00","03/08/2013","17:00:00","FALSE","FALSE","","","Richmond","","MCG","3","False"
"Richmond v Brisbane (AFL Rd 20)","10/08/2013","13:45:00","10/08/2013","16:35:00","FALSE","FALSE","","","Richmond","","MCG","3","False"
"Richmond v Carlton (AFL Rd 21)","17/08/2013","13:45:00","17/08/2013","16:35:00","FALSE","FALSE","","","Richmond","","MCG","3","False"
"Greater Western Sydney v Richmond (AFL Rd 22)","25/08/2013","15:15:00","25/08/2013","18:05:00","FALSE","FALSE","","","Richmond","","Skoda","3","False"
"Essendon v Richmond (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","Richmond","","MCG","3","False"
