"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Gold Coast v St Kilda (AFL Rd 1)","30/03/2013","19:40:00","30/03/2013","22:30:00","FALSE","FALSE","","","St Kilda","","Metricon","3","False"
"St Kilda v Richmond (AFL Rd 2)","05/04/2013","19:50:00","05/04/2013","22:40:00","FALSE","FALSE","","","St Kilda","","MCG","3","False"
"Greater Western Sydney v St Kilda (AFL Rd 3)","13/04/2013","16:40:00","13/04/2013","19:30:00","FALSE","FALSE","","","St Kilda","","Manuka","3","False"
"St Kilda v Essendon (AFL Rd 4)","20/04/2013","16:40:00","20/04/2013","19:30:00","FALSE","FALSE","","","St Kilda","","Etihad","3","False"
"St Kilda v Sydney (AFL Rd 5)","25/04/2013","17:40:00","25/04/2013","20:30:00","FALSE","FALSE","","","St Kilda","","Westpac","3","False"
"Collingwood v St Kilda (AFL Rd 6)","03/05/2013","19:50:00","03/05/2013","22:40:00","FALSE","FALSE","","","St Kilda","","Etihad","3","False"
"St Kilda v Carlton (AFL Rd 7)","13/05/2013","19:40:00","13/05/2013","22:30:00","FALSE","FALSE","","","St Kilda","","Etihad","3","False"
"Adelaide v St Kilda (AFL Rd 8)","19/05/2013","16:40:00","19/05/2013","19:30:00","FALSE","FALSE","","","St Kilda","","AAMI","3","False"
"St Kilda v Western Bulldogs (AFL Rd 9)","25/05/2013","16:40:00","25/05/2013","19:30:00","FALSE","FALSE","","","St Kilda","","Etihad","3","False"
"North Melbourne v St Kilda (AFL Rd 10)","02/06/2013","16:40:00","02/06/2013","19:30:00","FALSE","FALSE","","","St Kilda","","Etihad","3","False"
"St Kilda v West Coast (AFL Rd 11)","09/06/2013","16:40:00","09/06/2013","19:30:00","FALSE","FALSE","","","St Kilda","","Etihad","3","False"
"St Kilda v BYE (AFL Rd 12)","14/06/2013","00:00:00","15/06/2013","00:00:00","TRUE","FALSE","","","St Kilda","","Etihad","3","False"
"St Kilda v Melbourne (AFL Rd 13)","22/06/2013","16:40:00","22/06/2013","19:30:00","FALSE","FALSE","","","St Kilda","","MCG","3","False"
"Richmond v St Kilda (AFL Rd 14)","30/06/2013","16:40:00","30/06/2013","19:30:00","FALSE","FALSE","","","St Kilda","","MCG","3","False"
"Fremantle v St Kilda (AFL Rd 15)","07/07/2013","15:15:00","07/07/2013","18:05:00","FALSE","FALSE","","","St Kilda","","Patersons","3","False"
"Carlton v St Kilda (AFL Rd 16)","13/07/2013","19:40:00","13/07/2013","22:30:00","FALSE","FALSE","","","St Kilda","","Etihad","3","False"
"St Kilda v Port Adelaide (AFL Rd 17)","20/07/2013","14:10:00","20/07/2013","17:00:00","FALSE","FALSE","","","St Kilda","","Etihad","3","False"
"Geelong v St Kilda (AFL Rd 18)","27/07/2013","19:40:00","27/07/2013","22:30:00","FALSE","FALSE","","","St Kilda","","Simonds","3","False"
"Brisbane v St Kilda (AFL Rd 19)","03/08/2013","19:40:00","03/08/2013","22:30:00","FALSE","FALSE","","","St Kilda","","Gabba","3","False"
"St Kilda v Hawthorn (AFL Rd 20)","09/08/2013","19:50:00","09/08/2013","22:40:00","FALSE","FALSE","","","St Kilda","","Etihad","3","False"
"Sydney v St Kilda (AFL Rd 21)","18/08/2013","15:15:00","18/08/2013","18:05:00","FALSE","FALSE","","","St Kilda","","SCG","3","False"
"St Kilda v Gold Coast (AFL Rd 22)","25/08/2013","13:10:00","25/08/2013","16:00:00","FALSE","FALSE","","","St Kilda","","Etihad","3","False"
"St Kilda v Fremantle (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","St Kilda","","Etihad","3","False"
