"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Greater Western Sydney v Sydney (AFL Rd 1)","30/03/2013","16:40:00","30/03/2013","19:30:00","FALSE","FALSE","","","Sydney","","ANZ","3","False"
"Sydney v Gold Coast (AFL Rd 2)","06/04/2013","13:45:00","06/04/2013","16:35:00","FALSE","FALSE","","","Sydney","","SCG","3","False"
"North Melbourne v Sydney (AFL Rd 3)","13/04/2013","13:45:00","13/04/2013","16:35:00","FALSE","FALSE","","","Sydney","","Blundstone","3","False"
"Sydney v Geelong (AFL Rd 4)","19/04/2013","19:50:00","19/04/2013","22:40:00","FALSE","FALSE","","","Sydney","","SCG","3","False"
"St Kilda v Sydney (AFL Rd 5)","25/04/2013","17:40:00","25/04/2013","20:30:00","FALSE","FALSE","","","Sydney","","Westpac","3","False"
"Sydney v Brisbane (AFL Rd 6)","05/05/2013","13:10:00","05/05/2013","16:00:00","FALSE","FALSE","","","Sydney","","SCG","3","False"
"Hawthorn v Sydney (AFL Rd 7)","11/05/2013","19:40:00","11/05/2013","22:30:00","FALSE","FALSE","","","Sydney","","MCG","3","False"
"Sydney v Fremantle (AFL Rd 8)","18/05/2013","19:40:00","18/05/2013","22:30:00","FALSE","FALSE","","","Sydney","","SCG","3","False"
"Collingwood v Sydney (AFL Rd 9)","24/05/2013","19:50:00","24/05/2013","22:40:00","FALSE","FALSE","","","Sydney","","MCG","3","False"
"Sydney v Essendon (AFL Rd 10)","01/06/2013","16:40:00","01/06/2013","19:30:00","FALSE","FALSE","","","Sydney","","SCG","3","False"
"Adelaide v Sydney (AFL Rd 11)","08/06/2013","16:40:00","08/06/2013","19:30:00","FALSE","FALSE","","","Sydney","","AAMI","3","False"
"Sydney v BYE (AFL Rd 12)","14/06/2013","00:00:00","15/06/2013","00:00:00","TRUE","FALSE","","","Sydney","","Etihad","3","False"
"Port Adelaide v Sydney (AFL Rd 13)","22/06/2013","13:40:00","22/06/2013","16:30:00","FALSE","FALSE","","","Sydney","","AAMI","3","False"
"Sydney v Carlton (AFL Rd 14)","28/06/2013","19:50:00","28/06/2013","22:40:00","FALSE","FALSE","","","Sydney","","SCG","3","False"
"Melbourne v Sydney (AFL Rd 15)","07/07/2013","13:10:00","07/07/2013","16:00:00","FALSE","FALSE","","","Sydney","","MCG","3","False"
"Sydney v Greater Western Sydney (AFL Rd 16)","14/07/2013","13:10:00","14/07/2013","16:00:00","FALSE","FALSE","","","Sydney","","SCG","3","False"
"West Coast v Sydney (AFL Rd 17)","21/07/2013","16:40:00","21/07/2013","19:30:00","FALSE","FALSE","","","Sydney","","Patersons","3","False"
"Sydney v Richmond (AFL Rd 18)","28/07/2013","16:40:00","28/07/2013","19:30:00","FALSE","FALSE","","","Sydney","","SCG","3","False"
"Western Bulldogs v Sydney (AFL Rd 19)","04/08/2013","13:10:00","04/08/2013","16:00:00","FALSE","FALSE","","","Sydney","","Etihad","3","False"
"Sydney v Collingwood (AFL Rd 20)","10/08/2013","19:40:00","10/08/2013","22:30:00","FALSE","FALSE","","","Sydney","","ANZ","3","False"
"Sydney v St Kilda (AFL Rd 21)","18/08/2013","15:15:00","18/08/2013","18:05:00","FALSE","FALSE","","","Sydney","","SCG","3","False"
"Geelong v Sydney (AFL Rd 22)","24/08/2013","16:40:00","24/08/2013","19:30:00","FALSE","FALSE","","","Sydney","","Simonds","3","False"
"Sydney v Hawthorn (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","Sydney","","ANZ","3","False"
