"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Fremantle v West Coast (AFL Rd 1)","23/03/2013","19:40:00","23/03/2013","22:30:00","FALSE","FALSE","","","West Coast","","Patersons","3","False"
"West Coast v Hawthorn (AFL Rd 2)","07/04/2013","16:40:00","07/04/2013","19:30:00","FALSE","FALSE","","","West Coast","","Patersons","3","False"
"Melbourne v West Coast (AFL Rd 3)","13/04/2013","14:10:00","13/04/2013","17:00:00","FALSE","FALSE","","","West Coast","","MCG","3","False"
"West Coast v Carlton (AFL Rd 4)","20/04/2013","19:40:00","20/04/2013","22:30:00","FALSE","FALSE","","","West Coast","","Patersons","3","False"
"Port Adelaide v West Coast (AFL Rd 5)","27/04/2013","19:40:00","27/04/2013","22:30:00","FALSE","FALSE","","","West Coast","","AAMI","3","False"
"West Coast v Western Bulldogs (AFL Rd 6)","05/05/2013","16:40:00","05/05/2013","19:30:00","FALSE","FALSE","","","West Coast","","Patersons","3","False"
"Brisbane v West Coast (AFL Rd 7)","11/05/2013","14:10:00","11/05/2013","17:00:00","FALSE","FALSE","","","West Coast","","Gabba","3","False"
"West Coast v North Melbourne (AFL Rd 8)","17/05/2013","20:40:00","17/05/2013","23:30:00","FALSE","FALSE","","","West Coast","","Patersons","3","False"
"Greater Western Sydney v West Coast (AFL Rd 9)","25/05/2013","14:10:00","25/05/2013","17:00:00","FALSE","FALSE","","","West Coast","","Skoda","3","False"
"West Coast v Richmond (AFL Rd 10)","03/06/2013","19:40:00","03/06/2013","22:30:00","FALSE","FALSE","","","West Coast","","Patersons","3","False"
"St Kilda v West Coast (AFL Rd 11)","09/06/2013","16:40:00","09/06/2013","19:30:00","FALSE","FALSE","","","West Coast","","Etihad","3","False"
"West Coast v BYE (AFL Rd 12)","14/06/2013","00:00:00","15/06/2013","00:00:00","TRUE","FALSE","","","West Coast","","Etihad","3","False"
"Hawthorn v West Coast (AFL Rd 13)","21/06/2013","19:50:00","21/06/2013","22:40:00","FALSE","FALSE","","","West Coast","","Etihad","3","False"
"West Coast v Essendon (AFL Rd 14)","27/06/2013","20:10:00","27/06/2013","23:00:00","FALSE","FALSE","","","West Coast","","Patersons","3","False"
"Adelaide v West Coast (AFL Rd 15)","06/07/2013","19:40:00","06/07/2013","22:30:00","FALSE","FALSE","","","West Coast","","AAMI","3","False"
"West Coast v Fremantle (AFL Rd 16)","14/07/2013","16:40:00","14/07/2013","19:30:00","FALSE","FALSE","","","West Coast","","Patersons","3","False"
"West Coast v Sydney (AFL Rd 17)","21/07/2013","16:40:00","21/07/2013","19:30:00","FALSE","FALSE","","","West Coast","","Patersons","3","False"
"Western Bulldogs v West Coast (AFL Rd 18)","28/07/2013","15:15:00","28/07/2013","18:05:00","FALSE","FALSE","","","West Coast","","Etihad","3","False"
"West Coast v Gold Coast (AFL Rd 19)","03/08/2013","16:40:00","03/08/2013","19:30:00","FALSE","FALSE","","","West Coast","","Patersons","3","False"
"Essendon v West Coast (AFL Rd 20)","11/08/2013","13:10:00","11/08/2013","16:00:00","FALSE","FALSE","","","West Coast","","Etihad","3","False"
"West Coast v Geelong (AFL Rd 21)","17/08/2013","19:40:00","17/08/2013","22:30:00","FALSE","FALSE","","","West Coast","","Patersons","3","False"
"Collingwood v West Coast (AFL Rd 22)","23/08/2013","19:50:00","23/08/2013","22:40:00","FALSE","FALSE","","","West Coast","","MCG","3","False"
"West Coast v Adelaide (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","West Coast","","Patersons","3","False"
