"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Show time as","Private"
"Western Bulldogs v Brisbane (AFL Rd 1)","30/03/2013","13:40:00","30/03/2013","16:30:00","FALSE","FALSE","","","Western Bulldogs","","Etihad","3","False"
"Western Bulldogs v Fremantle (AFL Rd 2)","06/04/2013","14:10:00","06/04/2013","17:00:00","FALSE","FALSE","","","Western Bulldogs","","Etihad","3","False"
"Richmond v Western Bulldogs (AFL Rd 3)","14/04/2013","13:10:00","14/04/2013","16:00:00","FALSE","FALSE","","","Western Bulldogs","","Etihad","3","False"
"Adelaide v Western Bulldogs (AFL Rd 4)","21/04/2013","15:15:00","21/04/2013","18:05:00","FALSE","FALSE","","","Western Bulldogs","","AAMI","3","False"
"Western Bulldogs v Geelong (AFL Rd 5)","27/04/2013","19:40:00","27/04/2013","22:30:00","FALSE","FALSE","","","Western Bulldogs","","Etihad","3","False"
"West Coast v Western Bulldogs (AFL Rd 6)","05/05/2013","16:40:00","05/05/2013","19:30:00","FALSE","FALSE","","","Western Bulldogs","","Patersons","3","False"
"Western Bulldogs v North Melbourne (AFL Rd 7)","11/05/2013","16:40:00","11/05/2013","19:30:00","FALSE","FALSE","","","Western Bulldogs","","Etihad","3","False"
"Gold Coast v Western Bulldogs (AFL Rd 8)","18/05/2013","16:40:00","18/05/2013","19:30:00","FALSE","FALSE","","","Western Bulldogs","","Metricon","3","False"
"St Kilda v Western Bulldogs (AFL Rd 9)","25/05/2013","16:40:00","25/05/2013","19:30:00","FALSE","FALSE","","","Western Bulldogs","","Etihad","3","False"
"Western Bulldogs v Port Adelaide (AFL Rd 10)","01/06/2013","19:40:00","01/06/2013","22:30:00","FALSE","FALSE","","","Western Bulldogs","","TIO","3","False"
"Western Bulldogs v BYE (AFL Rd 11)","07/06/2013","00:00:00","08/06/2013","00:00:00","TRUE","FALSE","","","Western Bulldogs","","MCG","3","False"
"Collingwood v Western Bulldogs (AFL Rd 12)","16/06/2013","16:40:00","16/06/2013","19:30:00","FALSE","FALSE","","","Western Bulldogs","","Etihad","3","False"
"Western Bulldogs v Richmond (AFL Rd 13)","22/06/2013","19:40:00","22/06/2013","22:30:00","FALSE","FALSE","","","Western Bulldogs","","Etihad","3","False"
"Melbourne v Western Bulldogs (AFL Rd 14)","29/06/2013","19:40:00","29/06/2013","22:30:00","FALSE","FALSE","","","Western Bulldogs","","MCG","3","False"
"Greater Western Sydney v Western Bulldogs (AFL Rd 15)","06/07/2013","13:45:00","06/07/2013","16:35:00","FALSE","FALSE","","","Western Bulldogs","","Manuka","3","False"
"Western Bulldogs v Essendon (AFL Rd 16)","14/07/2013","15:15:00","14/07/2013","18:05:00","FALSE","FALSE","","","Western Bulldogs","","Etihad","3","False"
"Hawthorn v Western Bulldogs (AFL Rd 17)","20/07/2013","13:45:00","20/07/2013","16:35:00","FALSE","FALSE","","","Western Bulldogs","","Aurora","3","False"
"Western Bulldogs v West Coast (AFL Rd 18)","28/07/2013","15:15:00","28/07/2013","18:05:00","FALSE","FALSE","","","Western Bulldogs","","Etihad","3","False"
"Western Bulldogs v Sydney (AFL Rd 19)","04/08/2013","13:10:00","04/08/2013","16:00:00","FALSE","FALSE","","","Western Bulldogs","","Etihad","3","False"
"Carlton v Western Bulldogs (AFL Rd 20)","10/08/2013","16:40:00","10/08/2013","19:30:00","FALSE","FALSE","","","Western Bulldogs","","Etihad","3","False"
"Western Bulldogs v Adelaide (AFL Rd 21)","18/08/2013","16:40:00","18/08/2013","19:30:00","FALSE","FALSE","","","Western Bulldogs","","Etihad","3","False"
"Brisbane v Western Bulldogs (AFL Rd 22)","25/08/2013","16:40:00","25/08/2013","19:30:00","FALSE","FALSE","","","Western Bulldogs","","Gabba","3","False"
"Western Bulldogs v Melbourne (AFL Rd 23)","30/08/2013","00:00:00","31/08/2013","00:00:00","TRUE","FALSE","","","Western Bulldogs","","Etihad","3","False"
